>gene_name	chromosome	promoter_start	promoter_end
MIR6743;RIC8A	11	208897	209100
SDHA	5	218794	219053
THOC1	18	267865	268063
DEAF1	11	695816	696038
ZFAND2A	7	1200082	1200294
PSMG3-AS1	7	1609871	1610331
NDUFS6	5	1801438	1802120
LMNB2	19	2456743	2456950
ZNF343	20	2505476	2505798
CARS	11	3078015	3078329
TRAP1	16	3767232	3767489
PARP11	12	3981929	3982196
ZZEF1	17	4046017	4046230
ANKFY1	17	4167012	4167256
C12orf5	12	4429758	4430170
NDUFA9	12	4758037	4758279
NDUFA9	12	4758495	4758709
SMPD1	11	6411527	6411822
RAC1	7	6414384	6414744
TNFSF9	19	6530520	6530966
NOL9	1	6614157	6614367
ILK	11	6624920	6625300
TAF10	11	6633500	6633738
ZNF557	19	7069670	7069955
NEURL4	17	7232297	7232654
NECAP1	12	8234388	8234899
JAGN1	3	9932514	9932792
ANKRD33B	5	10564366	10564629
SCO1	17	10600765	10601013
TAS2R14	12	11324271	11324466
TUBB6	18	12307521	12307827
CDKN1B	12	12869979	12870615
C19orf53	19	13885405	13885642
TMEM43	3	14166791	14167163
BFAR	16	14726710	14726942
MEIG1	10	15002028	15002485
FAM188A	10	15902237	15902497
ZNF622	5	16466043	16466545
TOP3A	17	18217822	18218040
PEX26	22	18560676	18561218
ROCK1	18	18691146	18691421
ROCK1	18	18691880	18692263
MRPL40	22	19419528	19419931
CCP110	16	19535371	19535579
MRTO4	1	19577563	19577871
AEBP2	12	19592844	19593941
MIR1306;DGCR8	22	20067121	20067451
OTUD3	1	20208847	20209493
ZMYM5	13	20437541	20437928
CRKL	22	21272104	21272449
XPO4	13	21476430	21477039
GOLT1B	12	21654085	21654340
SKA3	13	21750633	21750955
METTL3	14	21979034	21979567
USP48	1	22109202	22109529
MAPK1	22	22222035	22222451
LOC101060521;POLR3E	16	22308601	22308868
MALSU1	7	23338876	23339105
PSMB5	14	23504146	23504362
NDUFAB1	16	23607320	23607763
MKRN3	15	23810973	23811219
RP5-886K2.3	1	24104577	24104799
DHRS1	14	24768792	24769414
GMNN	6	24775570	24775908
CASC1	12	25348069	25348530
TUSC1	9	25677585	25678128
TUSC1	9	25678412	25678658
TOP2B	3	25705657	25706487
HIST1H3A;HIST1H3D;HIST1H3C;HIST1H3E;HIST1H3I;HIST1H3G;HIST1H3J;HIST1H3H;HIST1H3B;HIST1H3F	6	26032138	26032449
HIST1H2BD	6	26157993	26158457
HIST4H4;HIST2H4B;HIST1H4I;HIST1H4A;HIST1H4D;HIST1H4F;HIST1H4K;HIST1H4J;HIST1H4C;HIST1H4H;HIST1H4B;HIST1H4E;HIST1H4L;HIST2H4A	6	26204597	26204835
IFT74	9	26946766	26947058
ARID1A	1	27023133	27023705
SNX17	2	27593440	27593760
NUFIP2	17	27619935	27620304
NUFIP2	17	27621153	27621576
ZNF512	2	27805923	27806187
RPA2	1	28241037	28241280
ZSCAN12	6	28367135	28368009
MIR3184;MIR423	17	28444217	28444495
LOC100996782;MED18	1	28655605	28655854
SRSF4	1	29507729	29508000
ASPHD1	16	29911977	29912211
ARL14EP	11	30344272	30344560
LTN1	21	30365369	30365569
CCT8	21	30446174	30446470
GARS	7	30634057	30634250
MDC1	6	30685412	30685684
CCDC157	22	30752283	30752544
POFUT1	20	30795801	30796048
SCFD1	14	31091125	31091393
FAN1	15	31196131	31196388
C16orf58	16	31519814	31520057
ELP4	11	31531249	31531628
PUM1	1	31537868	31538229
ZNF267	16	31884959	31885632
PRR14L	22	32145589	32145829
AVL9	7	32535343	32535603
BIRC6	2	32581803	32582118
BIRC6	2	32582268	32582534
CNOT10	3	32726608	32726949
HLA-DMA	6	32940348	32941050
ITCH	20	32951462	32951710
RP9	7	33148478	33149118
TARS	5	33440598	33440799
TARS	5	33441468	33441743
C18orf21	18	33552132	33552662
MIS18A	21	33650963	33651492
UBAP2	9	34048285	34048601
ALG10	12	34175265	34175723
UBAP1	9	34178819	34179057
RBM12	20	34252964	34253166
FAM219A	9	34458187	34458725
RPP25L	9	34612115	34612439
ZNHIT3	17	34842365	34843153
GGNBP2	17	34900810	34901008
BRIX1	5	34916042	34916438
CUL2	10	35378866	35379458
SOGA1	20	35490477	35490692
DDX52	17	36003258	36003763
LMBRD2	5	36151749	36151965
PSMB3	17	36908922	36909416
EPM2AIP1	3	37034247	37034524
TMEM217	6	37225905	37226116
GOLGA4	3	37284468	37284664
ZNF568	19	37407295	37407593
ALG5	13	37574485	37574725
CHAF1B	21	37757694	37757952
DCAF10	9	37800465	37800667
EXOSC3	9	37801012	37801634
PSMD3	17	38137402	38137627
TOMM22	22	39078221	39078465
NPTXR	22	39239857	39240150
LIAS	4	39460674	39460930
PNN	14	39644691	39644970
RNU86;SNORD83B;RPL3	22	39715884	39716135
KIF21A	12	39836183	39836713
RPL14	3	40498437	40498775
ZNF546	19	40502694	40502896
ZNF621	3	40566423	40566950
PTRF	17	40575253	40575456
COASY	17	40714275	40714577
RPL37	5	40835633	40835994
ZNF684	1	40997139	40997554
RMDN3	15	41047221	41047434
RMDN3	15	41047633	41047879
CTPS1	1	41445285	41445637
TOB2	22	41842094	41842368
SLC30A9	4	41992241	41992461
XRCC6	22	42017699	42017958
RPL7L1	6	42846981	42847321
EFTUD2	17	42976333	42976550
LOC101929959;BMS1	10	43277557	43277848
API5	11	43333379	43334016
UBR1	15	43398130	43398342
PIGT	20	44044457	44044736
GUF1	4	44680147	44681087
CTDSPL2	15	44719811	44720253
KIF15	3	44803160	44803378
MRPS30	5	44808989	44810062
PURB	7	44924744	44924970
ZDHHC3	3	45017266	45018186
TP53RK	20	45317622	45317940
LARS2	3	45430012	45430318
C10orf25	10	45496337	45496657
PRPF39	14	45553414	45553619
PPP1R37	19	45596231	45596554
PTTG1IP	21	46293414	46293735
C21orf67	21	46359564	46360172
SYMPK	19	46365883	46366375
IRF2BP1	19	46388865	46389138
ATP5G1	17	46970077	46970720
RPL10L	14	47120860	47121096
SETD2	3	47205608	47206325
AP2S1	19	47353309	47353868
NGFR	17	47572518	47572941
GLTSCR1	19	48111361	48111714
CDC25A	3	48229229	48229479
NME6	3	48342909	48343235
SUCLA2	13	48575249	48575491
DUT	15	48623031	48623645
PQBP1	X	48754808	48755397
CEBPB	20	48807237	48807488
UBE2V2	8	48920963	48921358
KANSL2	12	49075454	49075767
RUVBL2	19	49497004	49497605
TRAIP	3	49894047	49894358
PIH1D1	19	49954816	49955171
LRR1	14	50066198	50066392
BRD7	16	50402366	50402738
CACNA2D2	3	50540903	50541205
VCPKMT	14	50582714	50583046
DENND6B	22	50765862	50766148
LARP4	12	50794424	50794888
SNORD88C;C19orf48	19	51307447	51307688
LETMD1	12	51441878	51442438
INTS6-AS1	13	52026105	52026581
POC1A	3	52187776	52188501
ZNF766	19	52772523	52772852
ZNF766	19	52773002	52773418
PSMC6	14	53173577	53173866
RB1CC1	8	53627125	53627454
ERLEC1	2	54013638	54014338
CACNG8	19	54465162	54465520
RPS9	19	54704286	54704848
RP11-745C15.2	7	54826966	54827291
TRIM25	17	54991175	54991414
NARS	18	55288919	55289153
LANCL2	7	55434258	55434654
MAPK1IP1L	14	55518817	55519221
PPP6R1	19	55769873	55770456
SMEK2	2	55844980	55845346
SRSF1	17	56085033	56085294
PSPH	7	56119277	56119511
CCT6A	7	56119683	56120030
EPN1	19	56186223	56186449
PTGES3	12	57081553	57081883
SKA2	17	57231432	57231682
C11orf31	11	57508502	57508758
NAA30	14	57857542	57858027
RPS6KB1	17	57970772	57970973
ZNF773	19	58011188	58011400
RPP14	3	58292163	58292571
ACTR10	14	58667007	58667341
PPM1D	17	58678189	58678821
ZNF544	19	58739999	58740360
BRIP1	17	59940947	59941250
INTS2	17	60005406	60005602
ELOVL7	5	60139612	60139846
ELOVL7	5	60139942	60140223
GID8	20	61569660	61569944
PSMC5	17	61904743	61905071
WDR74	11	62606982	62607385
USP1	1	62902942	62903242
AMZ2P1	17	62972091	62972385
RPS27L	15	63449947	63450217
USP3	15	63796795	63797014
PELI1	2	64371197	64371411
NRBF2	10	64892988	64893689
DPF2	11	65101319	65101784
SREK1	5	65439764	65440087
SREK1	5	65440428	65440936
CLPX	15	65477078	65477792
RNASEH2C	11	65488176	65488404
VWA9	15	65903715	65903924
AMZ2	17	66243732	66244051
TK2	16	66583768	66584001
KDM2A	11	66886976	66887379
FAM96B	16	66967996	66968208
CBFB	16	67063251	67063513
PIAS1	15	68346904	68347353
SLC30A5	5	68389766	68390173
FEM1B	15	68570346	68571162
ANP32A	15	69110549	69111007
UBA3	3	69128963	69129285
VPS4A	16	69345398	69346027
CYB5B	16	69458433	69458878
MIR1538	16	69599366	69599712
DCAF5	14	69618435	69618954
SIRT1	10	69644726	69645115
LRRC40	1	70671008	70671766
COX16	14	70825963	70826644
FAM122A	9	71394900	71395216
LACTB2	8	71581057	71581367
PKM	15	72522890	72523318
BAZ1B	7	72936105	72936392
ADPGK	15	73075622	73076219
WBSCR22	7	73097142	73097892
NUP85	17	73201205	73201588
NUP85	17	73201691	73201938
PDZRN3	3	73673860	73674157
ZNF410	14	74353197	74353423
MRPL53	2	74699237	74699655
DNAJC9-AS1	10	75006330	75007132
LOC101929112	10	75012472	75012837
COX5A	15	75229874	75230435
SEC24C	10	75503796	75504045
NEK9	14	75593832	75594054
COMMD4	15	75628634	75628895
TMED10	14	75642972	75643238
COL12A1	6	75915424	75915840
FBXO22	15	76195709	76196098
PHLDA1	12	76425139	76425536
RCHY1	4	76439388	76439700
NUP54	4	77069642	77070004
TXNL4A	18	77748389	77748636
RNF219	13	79233069	79233281
CCDC137	17	79634014	79634362
IL7	8	79716649	79716934
LOC101929597;TBCD	17	80709929	80710254
ATMIN	16	81069464	81070111
IMPA1	8	82598475	82598686
RAB30	11	82782740	82782938
C15orf40	15	83679769	83680177
PICALM	11	85779430	85779828
EED	11	85956492	85957137
CCNH	5	86708724	86708958
WAPAL	10	88280491	88280759
KRCC1	2	88354643	88354842
KRCC1	2	88355477	88355679
TMTC3	12	88535582	88535863
ZC3H14	14	89029327	89030115
LRRC8B	1	89990272	89990677
LYRM2	6	90347950	90348206
NGRN	15	90808405	90808644
NGRN	15	90809190	90809427
CALM1;CALM2;CALM3	14	90863541	90863770
ZNF644	1	91486886	91487105
PRC1	15	91537920	91538200
NDUFB1	14	92587791	92588212
SNORD21;RPL5	1	93297875	93298084
MTF2	1	93545138	93545649
DNTTIP2	1	94344916	94345156
FAHD2A	2	96068247	96068769
STARD7	2	96874609	96874951
UFL1	6	96969438	96969777
TSPYL5	8	98289863	98290082
ARPC1A	7	98923315	98923513
CNPY4	7	99716553	99716745
TOMM70A	3	100120283	100120559
LYSMD4	15	100273702	100274101
PCNP	3	101292668	101292879
RP11-421L21.3	1	101491145	101491467
GIN1	5	102455294	102455547
BTRC	10	103113834	103114605
KLF10	8	103667763	103668045
ORC5	7	103848455	103848865
KLC1	14	104029446	104029739
ARGLU1	13	107219521	107219734
ARGLU1	13	107219835	107220066
PRPF38B	1	109234475	109234821
EMC2	8	109455511	109456141
ZC3H12C	11	109963356	109964223
RAD23B	9	110046102	110046337
AMD1	6	111197208	111197622
PPP2R1B	11	111637140	111637359
DRAM2	1	111682724	111683467
FAM212B-AS1	1	112282072	112282367
NAA25	12	112546571	112547029
ZC3H6	2	113032620	113033010
TIFA	4	113207058	113207297
ZW10	11	113644000	113644560
VTI1A	10	114206993	114207399
TRUB1	10	116697969	116698307
MAN1A2	1	117910038	117910254
NUS1	6	117996467	117996738
DDX18	2	118572526	118572749
FAM204A	10	120101464	120101922
FSTL1	3	120169061	120169489
POLQ	3	121264438	121264633
TIAL1	10	121356247	121356542
KPNA1	3	122233153	122233399
WDR11	10	122610613	122611187
EXOSC9	4	122722026	122722380
ZCCHC8	12	122984946	122985276
ATAD2	8	124408036	124408375
MSANTD2	11	124670206	124670465
PHAX	5	125936567	125937018
OAT	10	126107273	126107668
HINT3	6	126277608	126277946
SLC12A2	5	127419434	127419822
TNPO3	7	128695215	128695418
MYC	8	128748444	128748783
NRF1	7	129251174	129251775
SLC15A4	12	129308656	129308891
RAPGEF6	5	130970328	130970852
NUP188	9	131709571	131709878
HSPA4	5	132387180	132387371
PUS1	12	132413396	132413637
C5orf15	5	133304089	133304614
BNIP3	10	133795075	133795429
AHI1	6	135818640	135818867
MTFR2	6	136571187	136571393
DBR1	3	137893661	137893855
ARMC8	3	137906213	137906831
C9orf116	9	138392434	138393087
EDF1	9	139760783	139761132
NAA15	4	140222167	140222485
KIAA0141	5	141303351	141303562
RNF7	3	141457225	141457654
USP38	4	144105625	144106164
ZNF623	8	144718457	144718926
EXOSC4	8	145133773	145133976
CYC1	8	145150226	145150441
HSF1	8	145515637	145515919
